,custId,sex,isElderly,partner,dependents,membershipDuration,agreementTerm,acquisitionChannel,phoneService,multipleLines,internetService,monthlyDataUsageGb,cyberProtectionService,onlineBackup,deviceProtection,techSupport,streamingTv,streamingMovies,recurringFee,cumulativeSpend,transactionMethod,paperlessBilling,billingIssues,supportTickets,lastContactRating,serviceSatisfactionScore,mobileAppSatisfaction,networkStabilityScore,avgNetworkLatencyMs,dataLimitWarnings,loyaltyPoints,customerFeedback,competitorOffers,custExit
57,Lb11464,Male,Yes,Yes,Yes,66,One year,Store,Yes,Yes,Fiber optic,71.47,No,Yes,Yes,Yes,Yes,Yes,108.45,7076.35,Electronic check,Yes,No,2,5,3,4,3.8,18,2,1552,"I have been a loyal customer of this internet service provider for over 5 years now, and I have been very satisfied with the fiber optic internet service they offer. The speed and reliability of the connection have been excellent, and I have had no issues with downtime or interruptions.

I appreciate the convenience of being able to pay my monthly bill with an electronic check, and the $108.45 monthly charge for the service is reasonable for the quality of internet I receive.

Overall, I have had a positive experience with this provider and would recommend them to others looking for reliable and fast internet service.",No,No
3129,w33294,Male,No,No,No,52,Two year,Referral,Yes,No,DSL,94.43,Yes,Yes,No,No,Yes,No,63.25,3342.45,Credit card (automatic),Yes,No,No,5,4,3,10,45,2,1089,"I have been a customer with this company for over 4 years now and I have been very satisfied with the service. The DSL internet service has been reliable and the monthly charges are reasonable. I appreciate the convenience of the automatic credit card payment method. Overall, I have had no reason to consider switching providers and I would recommend this company to others.",No,No
5291,Q54114,Male,No,No,No,4,Month-to-month,Referral,No,No phone service,DSL,46.28,No,Yes,No,No,Yes,Yes,44.55,174.3,Electronic check,Yes,No,Yes,2,3,2,4.3,89,Yes,1355,"I recently canceled my service with this provider after being a customer for 4 months. I was on a month-to-month contract and was paying $44.55 per month for DSL internet service. I found the service to be unreliable and slow, often experiencing frequent outages and buffering while trying to stream videos or download files. Additionally, I had issues with the payment method using electronic check, as it was not always processed in a timely manner. Overall, I was not satisfied with the service and decided to switch to a different provider.",Yes,Yes
6697,Lf71888,Male,No,No,No,6,Month-to-month,Store,Yes,Yes,Fiber optic,46.37,No,Yes,No,No,No,No,74.9,469.8,Electronic check,Yes,2,No,2,4,3,1.2,46,2,1073,"""I recently decided to cancel my service after 6 months with this company. While the fiber optic internet service was reliable and fast, I found the monthly charges of $74.9 to be a bit higher than I would have liked. Additionally, I prefer to pay my bills with a credit card rather than electronic check, which was a bit inconvenient for me. Overall, I had a decent experience with the service, but ultimately decided to switch to a different provider due to the pricing and payment method issues.""",Yes,Yes
705,fn95539,Male,No,No,No,6,Month-to-month,Store,Yes,No,Fiber optic,48.67,Yes,Yes,No,No,No,No,78.95,494.95,Electronic check,Yes,No,2,4,4,5,Yes,59,2,1367,"I have been a customer with this fiber optic internet service provider for the past 6 months on a month-to-month contract. I have been satisfied with the internet service and have not experienced any issues with connectivity or speed. The monthly charges of $78.95 are reasonable for the quality of service I am receiving. I appreciate the convenience of paying with electronic check. Overall, I am happy with my experience and have no plans to switch providers.",No,No
3505,C14023,Male,Yes,Yes,No,8,Month-to-month,Store,Yes,No,DSL,56.33,Yes,Yes,No,No,Yes,No,60.9,551.95,Bank transfer (automatic),No,No,3,5,3,5,3.3,89,2,902,"I have been a customer with this DSL internet provider for 8 months now on a month-to-month contract. The automatic bank transfer payment method makes it convenient for me to pay my monthly charges of $60.9. I have not experienced any issues with the service, so I have not had any reason to consider churning to a different provider. Overall, I am satisfied with the reliability and consistency of the internet service provided.",No,No
5993,qW22659,Male,Yes,Yes,No,70,One year,Store,Yes,Yes,Fiber optic,73.51,No,Yes,Yes,No,Yes,Yes,104.8,7308.95,Electronic check,Yes,2,No,4,3,2,9.5,167,Yes,962,"I have been a customer of this company for 70 months now and I am very satisfied with the service they provide. The fiber optic internet service has been reliable and fast, and I have had no issues with outages or disruptions. The monthly charges of $104.80 are reasonable for the quality of service I receive. I appreciate being able to pay with electronic check, as it is convenient and easy to manage. Overall, I have no complaints and would recommend this company to others.",No,No
1312,h22691,Male,No,No,No,Yes,Month-to-month,Online,Yes,No,DSL,20.53,No,Yes,No,Yes,No,No,51.25,51.25,Mailed check,No,No,No,2,3,3,2.1,55,2,1722,"I recently signed up for DSL internet service with this provider on a month-to-month contract. However, after just one month, I decided to cancel due to subpar connection speeds and unreliable service. Despite the affordable monthly charges of $51.25, I found that the service did not meet my expectations. Additionally, having to pay by mailing a check was inconvenient and outdated. Overall, I was disappointed with my experience and would not recommend this provider to others.",Yes,Yes
981,MU18108,Male,No,No,No,14,Month-to-month,Store,No,No phone service,DSL,16.86,No,Yes,Yes,No,Yes,Yes,50.75,712.75,Electronic check,Yes,No,3,Yes,3,4,2.1,111,4,1340,"I recently decided to cancel my service with this company after being a customer for 14 months. The monthly charges of $50.75 for DSL internet were reasonable, but I ultimately decided to switch to a different provider for better service options. The payment method of electronic check was convenient and easy to use. Overall, I had a decent experience with this company, but I felt it was time for a change.",Yes,Yes
2088,V28143,Female,No,No,No,Yes,Month-to-month,Referral,Yes,No,DSL,66.15,No,Yes,No,No,No,Yes,55.4,55.4,Electronic check,Yes,No,4,Yes,5,2,Yes,75,Yes,1577,"I recently signed up for DSL internet service with this provider on a month-to-month contract. Unfortunately, after just one month of service, I decided to cancel due to slow speeds and frequent outages. The monthly charges of $55.4 were reasonable, but the overall reliability and performance of the service did not meet my expectations. I also found the payment method of electronic check to be convenient. I hope the provider can improve their internet service in the future to better meet the needs of their customers.",Yes,Yes
5857,h10889,Female,No,No,No,37,One year,Agent,Yes,No,Fiber optic,72.2,No,Yes,Yes,No,No,No,80.05,3019.1,Electronic check,No,No,No,5,5,3,6.7,75,2,942,"I have been a customer with this company for almost three years now and I have been extremely satisfied with their service. The fiber optic internet service has been reliable and fast, and I have had no issues with connectivity. The monthly charges are reasonable at $80.05 and I appreciate the convenience of being able to pay with an electronic check. Overall, I have had a positive experience with this company and have no intentions of churning.",No,No
2318,JO34773,Male,No,No,Yes,12,Month-to-month,Store,Yes,No,No,59.08,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,21.05,235.8,Credit card (automatic),No,No,No,3,3,5,8.6,16,No,486,"I have been a customer with this company for 12 months now on a month-to-month contract with automatic credit card payments. I do not have internet service with them, but I have been satisfied with their services so far. The monthly charges are reasonable at $21.05 and I have not experienced any issues with billing or service disruptions. Overall, I am happy with my experience and have no plans to churn.",Yes,No
3621,S95979,Female,Yes,No,No,59,Two year,Online,Yes,Yes,Fiber optic,53.55,No,Yes,No,No,No,No,79.2,4590.35,Credit card (automatic),Yes,Yes,No,5,4,5,4,90,Yes,419,"I have been a loyal customer of this fiber optic internet service provider for almost five years now and I have been extremely satisfied with the service. The automatic credit card payment option makes it convenient for me to pay my monthly bill on time without any hassle. The speed and reliability of the internet connection have been top-notch, and I have never experienced any issues with downtime. Although the monthly charges are a bit on the higher side at $79.2, I believe the quality of service justifies the cost. Overall, I have no complaints and would highly recommend this provider to others.",No,No
6911,FH52476,Female,Yes,No,No,9,Month-to-month,Store,Yes,No,Fiber optic,47.22,No,Yes,No,No,Yes,No,80.85,751.65,Electronic check,Yes,Yes,4,2,5,4,5.6,99,2,1433,"I recently canceled my service after being a customer for 9 months. I was on a month-to-month contract and was paying $80.85 per month for fiber optic internet. I found a better deal with another provider and decided to switch. Overall, the service was reliable and I didn't have any major issues with the connection. I appreciated being able to pay with electronic check, as it was convenient for me. However, the monthly charges were a bit high compared to other options available in my area. Overall, I had a good experience with the service, but ultimately decided to switch due to cost.",Yes,Yes
1998,j75011,Male,No,Yes,No,48,Two year,Referral,Yes,No,No,53.28,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,20.05,1036,Mailed check,Yes,No,No,Yes,3,4,6.8,61,2,1451,"I have been a customer with this company for 48 months now and overall, I have been satisfied with the service. I appreciate the affordable monthly charges of $20.05 and the convenience of being able to pay by mailing a check. However, I wish they offered internet service as well. Overall, I have no complaints and have no plans to churn in the near future.",No,No
5238,E13548,Male,No,Yes,No,52,One year,Online,Yes,Yes,DSL,61.48,Yes,Yes,Yes,Yes,No,Yes,81.4,4354.45,Credit card (automatic),Yes,Yes,2,4,3,Yes,10,50,2,1162,"""I have been a loyal customer with this company for over four years now and I have been very satisfied with the DSL internet service they provide. The automatic credit card payment method makes it convenient for me to pay my monthly bill without any hassle. The monthly charges of $81.4 for the service I receive are reasonable and I have no complaints. Overall, I have had a positive experience with this company and I have no intentions of churning anytime soon.""",No,No
5987,z19232,Male,No,Yes,No,36,One year,Agent,No,No phone service,DSL,38.68,Yes,Yes,Yes,No,No,No,35.35,1317.95,Mailed check,No,No,2,5,4,5,Yes,146,2,943,"I have been a customer with this company for 3 years now and I have been satisfied with the service overall. The DSL internet service has been reliable and consistent, and the monthly charges of $35.35 are reasonable. I appreciate being able to pay by mailed check, as it is convenient for me. Overall, I have had no issues with the service and have no plans to switch providers.",No,No
4207,F72650,Female,No,No,No,46,Month-to-month,Referral,Yes,Yes,Fiber optic,56.86,No,Yes,No,No,Yes,Yes,96.05,4399.5,Bank transfer (automatic),No,Yes,Yes,Yes,3,Yes,2.4,139,2,1075,"I recently decided to switch internet providers after being with this company for almost 4 years. While the fiber optic internet service was fast and reliable, the monthly charges of $96.05 started to feel too expensive for me, especially since I was on a month-to-month contract. The automatic bank transfer payment method was convenient, but ultimately I felt like I could find a better deal elsewhere. Overall, I was satisfied with the service provided but chose to cancel due to the high cost.",Yes,Yes
1736,Y93958,Male,No,No,No,Yes,Month-to-month,Online,Yes,No,No,65.91,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,20.05,20.05,Mailed check,No,2,3,5,4,4,7.5,58,2,1066,"I have been a customer for just over a month now and so far I am satisfied with the service. The month-to-month contract is convenient for me as I like to have flexibility with my services. The monthly charges of $20.05 are reasonable for the service I am receiving. I do not have internet service with this provider, so I cannot comment on that aspect. I prefer to pay by mailing in a check and have had no issues with this payment method. Overall, I am happy with my experience so far and have no plans to churn.",No,No
2904,UC18031,Female,Yes,No,No,64,Month-to-month,Online,No,No phone service,DSL,26.52,No,Yes,No,Yes,Yes,No,43.85,2751,Electronic check,Yes,Yes,3,3,5,5,10,44,3,411,"""I have been a loyal customer for over 5 years now and I have been very satisfied with the DSL internet service provided by this company. The monthly charges are very reasonable at $43.85 and I appreciate the flexibility of the month-to-month contract. I have been using electronic check as my payment method and it has been convenient and hassle-free. Overall, I have had a positive experience with this company and I have no complaints. I would definitely recommend their services to others.""",No,No
41,dE29908,Female,No,Yes,Yes,70,Two year,Referral,Yes,Yes,DSL,15.55,Yes,Yes,No,No,Yes,No,69.2,4872.35,Credit card (automatic),Yes,Yes,Yes,5,5,5,2.6,96,2,1127,"""After 70 months of being a loyal customer with this company, I can confidently say that I am extremely satisfied with the service provided. The two year contract with DSL internet has been reliable and consistent, with no issues or disruptions in service. The monthly charges of $69.2 are reasonable for the quality of service received. The automatic credit card payment method makes it convenient and hassle-free to pay my bill on time every month. Overall, I have had a positive experience with this company and have no intentions of churning in the near future.""",No,No
5584,P49605,Male,No,No,Yes,Yes,Month-to-month,Online,Yes,No,DSL,61.35,No,Yes,No,No,No,No,49.9,49.9,Electronic check,Yes,Yes,Yes,5,4,3,7.6,105,Yes,1560,"I have been a customer with this DSL internet provider for a month now and I am really satisfied with the service so far. The monthly charges are affordable at $49.9 and the payment method through electronic check is convenient for me. I have had no issues with connectivity or speed, so I have no reason to switch providers. Overall, I am happy with my experience and would recommend this service to others.",No,No
5976,o64409,Male,No,No,No,61,One year,Agent,Yes,Yes,Fiber optic,58.56,Yes,Yes,Yes,No,Yes,Yes,107.75,6521.9,Electronic check,Yes,No,3,2,5,2,5.7,113,Yes,827,"I have been a customer with this company for 61 months now, and I have been very satisfied with the service. The fiber optic internet service has been reliable and fast, and the monthly charges of $107.75 are reasonable for the quality of service I receive. I appreciate being able to pay with electronic check, as it is convenient and hassle-free. Overall, I have had no reason to consider churning and I would highly recommend this company to others.",No,No
6354,ex11409,Male,No,No,No,2,Month-to-month,Store,Yes,No,DSL,59.75,Yes,Yes,No,Yes,No,No,54.45,87.3,Mailed check,Yes,Yes,Yes,2,5,Yes,Yes,90,Yes,914,"I have been a customer with this DSL internet service provider for 2 months now and I am pleased to say that I have had no issues with their service. The monthly charges of $54.45 are reasonable for the speed and reliability of the internet connection I receive. I appreciate being able to pay by mailing a check, as it is convenient for me. Overall, I am satisfied with my experience and have no plans to switch providers.",Yes,No
1059,X96273,Female,No,No,No,36,Month-to-month,Store,Yes,Yes,Fiber optic,68.94,No,Yes,No,No,Yes,Yes,99.15,3615.6,Electronic check,Yes,Yes,2,4,5,4,6.9,70,2,350,"I have been a customer with this company for 36 months and unfortunately, I have decided to churn. The monthly charges of $99.15 for fiber optic internet service were reasonable, however, I found that the service was not consistently reliable. I paid using electronic check which was convenient, but ultimately I decided to switch to a different provider for a more stable connection.",No,Yes
3783,wA27166,Male,No,No,No,25,Month-to-month,Online,Yes,No,No,57.28,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,20.15,536.35,Mailed check,Yes,No,No,5,4,4,8.5,10,2,1006,"I have been a customer with this company for 25 months now and I am very satisfied with their service. Despite being on a month-to-month contract, I have not experienced any issues that would make me want to cancel. The monthly charges are very reasonable at $20.15 and I appreciate the convenience of being able to pay with a mailed check. Overall, I am happy with the service provided by this company.",No,No
5501,Y26395,Female,No,No,No,Yes,Month-to-month,Online,Yes,No,No,41.77,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,19.55,19.55,Credit card (automatic),No,Yes,Yes,Yes,5,Yes,10,74,2,1448,"I have been a customer with this company for 1 month now and I am very satisfied with the service. The monthly charges are reasonable at $19.55 and I appreciate the convenience of automatic credit card payments. Although I do not have internet service with this company, I have had no issues with my other services. Overall, I am happy with my experience so far and have no complaints.",No,No
1401,X78398,Male,No,No,No,31,Two year,Online,Yes,No,No,78.95,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,20.45,638.55,Mailed check,No,No,Yes,2,4,5,10,70,2,1392,"I have been a customer with this company for over 2 and a half years and have had a positive experience overall. Even though I do not have internet service with them, I have never had any issues with billing or customer service. The monthly charges are very reasonable at $20.45 and I appreciate that I can pay with a mailed check. I have no plans to switch providers in the near future.",No,No
2356,Vc11260,Male,No,No,No,10,One year,Referral,Yes,No,Fiber optic,31.92,Yes,Yes,Yes,No,Yes,Yes,98.9,1064.95,Electronic check,Yes,Yes,3,3,4,5,Yes,59,2,690,"I have been a customer with this company for 10 months now and I must say I am very satisfied with the service. The fiber optic internet service has been reliable and fast, and I have not experienced any issues with connectivity. The monthly charges of $98.9 are reasonable for the quality of service I am receiving. The payment method of electronic check is convenient and hassle-free. Overall, I have no complaints and would recommend this company to others.",No,No
3454,fp74064,Female,Yes,No,No,15,Month-to-month,Agent,Yes,Yes,Fiber optic,30.95,No,Yes,No,No,Yes,No,89.0,1288.3,Credit card (automatic),No,No,No,2,4,5,Yes,48,2,1119,"I have been a customer with this internet service provider for 15 months now and I have been really satisfied with the service. The fiber optic internet is fast and reliable, and I have had no issues with connectivity. The automatic credit card payment method is convenient for me and I appreciate not having to worry about remembering to pay my bill each month. The monthly charges of $89.0 are reasonable for the quality of service I am receiving. Overall, I am happy with my experience and would recommend this provider to others.",Yes,No
1029,Wc77631,Female,No,Yes,No,7,Month-to-month,Online,Yes,No,DSL,38.89,Yes,Yes,No,No,No,No,50.3,355.1,Bank transfer (automatic),Yes,No,2,5,4,4,4.7,10,2,997,"I have been a customer with this DSL internet service provider for 7 months now on a month-to-month contract. I am pleased to say that I have had no issues with their service and have not experienced any churn. The monthly charges of $50.3 are reasonable for the quality of internet service I receive. I appreciate the convenience of the automatic bank transfer payment method. Overall, I am satisfied with my experience with this internet service provider.",No,No
5928,dy14506,Male,No,No,No,12,Month-to-month,Store,Yes,Yes,Fiber optic,47.94,No,Yes,No,No,Yes,Yes,96.05,1148.1,Electronic check,Yes,2,No,Yes,3,5,10,76,2,1383,"""I recently switched to a new internet provider after being with this company for 12 months on a month-to-month contract. The $96.05 monthly charges for fiber optic internet seemed reasonable at first, but I ultimately decided to churn due to inconsistent speeds and frequent outages. I also found the process of making payments through electronic check to be inconvenient. Overall, I was not satisfied with the service and would not recommend it to others.""",No,Yes
3450,fX17461,Male,No,No,No,19,One year,Referral,Yes,No,DSL,74.86,No,Yes,No,Yes,No,Yes,65.35,1231.85,Bank transfer (automatic),Yes,Yes,2,4,5,2,5.8,10,Yes,1235,"I have been a customer with this company for 19 months now and I have been very satisfied with the DSL internet service they provide. The monthly charges of $65.35 are reasonable for the speed and reliability I receive. I appreciate the convenience of the automatic bank transfer payment method, as it ensures my bill is always paid on time. Overall, I have had no issues with this company and have no plans to churn in the near future. I would definitely recommend their services to others.",No,No
5225,C37747,Male,No,No,No,4,Month-to-month,Store,Yes,Yes,DSL,76.12,No,Yes,No,No,No,No,50.4,206.6,Mailed check,No,Yes,2,3,5,3,Yes,63,Yes,494,"I recently canceled my DSL internet service after 4 months of being a customer. The monthly charges of $50.4 were reasonable, but I found the internet speed and reliability to be lacking. I had to rely on mailing a check for payment, which was inconvenient compared to other payment methods available. Overall, I was not satisfied with the service and decided to switch to a different provider.",No,Yes
7025,p22793,Female,No,No,No,7,Month-to-month,Online,Yes,Yes,Fiber optic,53.13,No,Yes,No,No,No,No,74.9,541.15,Electronic check,Yes,No,2,3,5,3,Yes,64,Yes,1285,"I recently switched to fiber optic internet with this company and have been a customer for 7 months on a month-to-month contract. The service itself has been great - fast and reliable. However, I unfortunately had to cancel due to personal reasons. The monthly charge of $74.90 was reasonable for the quality of service provided. I appreciated being able to pay with an electronic check, as it made the payment process convenient. Overall, I had a positive experience with this company and would recommend their fiber optic internet service to others.",No,Yes
4648,If75109,Female,No,No,No,3,Month-to-month,Online,Yes,Yes,Fiber optic,33.7,No,Yes,No,No,No,No,75.25,242,Electronic check,No,No,Yes,5,3,4,10,67,4,664,"I recently switched to this fiber optic internet service provider about 3 months ago on a month-to-month contract. The monthly charges are $75.25, which I find to be reasonable for the speed and reliability of the service. I have been paying through electronic check without any issues.

However, I recently decided to churn and switch to a different provider due to personal reasons. Overall, I had a positive experience with this provider and would recommend them to others looking for fast and reliable internet service.",Yes,Yes
4918,GC56246,Female,Yes,Yes,No,71,Two year,Online,Yes,No,Fiber optic,50.46,Yes,Yes,Yes,Yes,Yes,Yes,109.7,7904.25,Bank transfer (automatic),Yes,Yes,5,5,5,5,6.5,52,2,1174,"I have been a customer with this company for 71 months now and I am extremely satisfied with the service I have received. The fiber optic internet service is reliable and fast, and the automatic bank transfer payment method makes it convenient for me to pay my monthly charges of $109.7. I have had no issues with my service and have no plans to churn. I would highly recommend this company to others looking for reliable internet service.",No,No
977,DC56884,Male,No,Yes,Yes,24,One year,Online,Yes,No,No,67.51,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,20.8,469.65,Credit card (automatic),Yes,2,Yes,Yes,5,3,5.3,45,2,1338,"I have been a customer with this company for 24 months now and I am very satisfied with the service. The $20.8 monthly charges for my one-year contract are very reasonable and the automatic credit card payment method makes it convenient for me to pay my bill on time. Although I do not have internet service with this company, I have had no issues with my other services and have not experienced any reason to consider churning. Overall, I am happy with the service and would recommend it to others.",Yes,No
4441,q77784,Female,Yes,No,No,5,Month-to-month,Agent,Yes,No,Fiber optic,40.95,No,Yes,No,No,No,Yes,78.95,378.4,Electronic check,No,No,3,2,3,3,Yes,26,Yes,877,"I recently cancelled my service after 5 months with this company. The fiber optic internet service was top-notch, but I found the monthly charges of $78.95 to be a bit steep for my budget. I appreciated the convenience of paying with an electronic check, but ultimately decided to switch to a more affordable provider. Overall, I had a positive experience with the service itself, but the cost was a deciding factor in my decision to churn.",Yes,Yes
5581,lV52769,Female,Yes,Yes,No,67,One year,Online,Yes,Yes,Fiber optic,42.45,Yes,Yes,No,No,Yes,Yes,105.6,7112.15,Electronic check,Yes,Yes,2,Yes,5,5,8.1,141,No,1269,"I have been a loyal customer of this company for over 5 years now and I am extremely satisfied with the service I have received. The fiber optic internet service is fast and reliable, and I have never experienced any issues with connectivity. The monthly charges are reasonable at $105.6 and I appreciate the convenience of paying with an electronic check. Overall, I have had a positive experience with this company and have no complaints. I would highly recommend their services to others.",No,No
3069,u47357,Male,Yes,Yes,Yes,72,Two year,Store,Yes,Yes,Fiber optic,54.27,Yes,Yes,Yes,Yes,Yes,Yes,115.75,8399.15,Credit card (automatic),Yes,Yes,4,2,5,5,Yes,79,Yes,1032,"I have been a customer with this company for 6 years now and I have been extremely satisfied with their service. The fiber optic internet has been reliable and fast, and I have had no issues with my connection. The monthly charges are reasonable at $115.75 and I appreciate the convenience of automatic credit card payments. Overall, I have had a positive experience with this company and would recommend them to others.",No,No
6921,f72539,Female,No,Yes,No,67,One year,Online,Yes,No,No,14.21,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,20.85,1327.4,Bank transfer (automatic),Yes,2,Yes,5,4,5,10,69,3,1533,"I have been a customer with this company for 67 months now and I have been very satisfied with their services. The monthly charges are very reasonable at $20.85 and I appreciate the convenience of automatic bank transfer for payment. Even though I do not have internet service with them, I have had no issues with their customer service or billing. Overall, I am happy with my experience and do not plan on churning anytime soon.",No,No
2005,Bx79966,Male,Yes,No,No,60,One year,Referral,Yes,Yes,DSL,47.57,Yes,Yes,No,No,No,Yes,71.75,4374.55,Electronic check,Yes,No,Yes,2,5,5,6.5,75,No,417,"I have been a loyal customer of this internet service provider for 5 years now and I have been very satisfied with their service. The DSL internet has been reliable and fast, and I have had no issues with connectivity. The monthly charges are reasonable at $71.75 and I appreciate the convenience of paying with electronic check. Overall, I am happy with the service and have no plans to switch providers.",No,No
776,I42896,Female,No,Yes,No,5,Month-to-month,Online,Yes,No,Fiber optic,30.34,No,Yes,No,No,No,No,68.95,351.5,Electronic check,Yes,3,2,4,4,5,10,49,No,1189,"I have been a customer with this internet provider for 5 months now and I am extremely satisfied with the service. The fiber optic internet is fast and reliable, allowing me to stream movies and work from home without any issues. The monthly charges of $68.95 are fair for the quality of service I receive. I appreciate being able to pay with electronic check, as it is convenient and easy to manage. Overall, I have had a great experience and have no plans to churn.",No,No
4808,V92464,Male,No,No,No,12,Month-to-month,Online,Yes,Yes,Fiber optic,109.2,No,Yes,Yes,Yes,Yes,Yes,112.95,1384.75,Mailed check,Yes,No,Yes,5,4,Yes,1.6,16,Yes,1260,"I recently decided to switch internet providers after being with this company for 12 months on a month-to-month contract. The monthly charges of $112.95 were quite high for the service I was receiving. Additionally, having to mail a check for payment was inconvenient and outdated in today's digital age. Overall, I decided to churn because I found better deals with other providers offering similar fiber optic internet services at a lower cost and with more convenient payment options.",No,Yes
