name,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
Beans Around,Coffee|Delivery|Subscription Service,100000,operating,,,,,1,2015-04-01,2015-09-04,2015-09-04
10sec,E-Commerce|Mobile Commerce|Social Commerce,1600000,operating,USA,CA,SF Bay Area,San Francisco,2,2013-07-08,2013-10-31,2014-05-08
10seconds Software,Enterprise Software|Mobility|Software,100000,operating,AUS,2,Sydney,Sydney,1,2009-07-01,2010-07-01,2010-07-01
10Six,Batteries|Electronics|Energy,-,operating,USA,NY,New York City,New York,1,,2014-02-01,2014-02-01
10tracks,iOS|Mobile|Music,-,operating,,,,,2,2012-01-01,2013-07-31,2014-02-03
10X Genomics,Biotechnology|Technology,55000000,operating,USA,CA,SF Bay Area,Pleasanton,1,2012-01-01,2015-01-12,2015-01-12
10X Technologies,Biotechnology,3550000,operating,USA,CA,SF Bay Area,Oakland,2,2012-01-01,2012-11-07,2015-01-12
10X10 Room,Software,77500,operating,USA,MA,Boston,Lexington,1,2010-01-01,2011-10-12,2011-10-12
10°North,Fashion,-,operating,CAN,ON,Toronto,Mississauga,1,2013-01-05,2014-08-12,2014-08-12
11 Health,Health and Wellness,1958909,operating,GBR,H9,London,London,1,,2015-08-20,2015-08-20
115 network disks,EdTech|Education,-,operating,,,,,1,,2011-11-01,2011-11-01
117go,Social Travel,20000000,operating,CHN,23,Shanghai,Shanghai,1,2011-10-01,2014-04-28,2014-04-28
11i Solutions,Enterprise Software,1800000,closed,USA,AL,Huntsville,Huntsville,1,,2011-03-22,2011-03-22
12 Labs,Health and Wellness|Personal Health,935000,operating,USA,CA,SF Bay Area,Palo Alto,1,2014-08-01,2014-11-26,2014-11-26
12 Star Survival,Sports,-,operating,DNK,21,DNK - Other,Vinding,1,2013-07-17,2013-10-17,2013-10-17
120 Sports,Sports,-,operating,USA,IL,Chicago,Chicago,1,2013-01-01,2014-02-20,2014-02-20
121 Rentals,Real Estate,-,operating,USA,TX,TX - Other,Amarillo,1,2011-04-12,2014-09-03,2014-09-03
121cast,Audio|Mobile|Music,440000,operating,AUS,7,Melbourne,Melbourne,3,2012-02-01,2012-05-01,2013-06-30
121nexus,Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,794000,operating,USA,RI,Providence,Providence,6,2011-10-07,2012-02-06,2014-01-01
1234ENTER,Advertising|Analytics|Business Services|E-Commerce|Education|Internet Marketing|Small and Medium Businesses,650267,operating,,,,,2,2012-01-01,2012-09-01,2013-11-22
123ContactForm,E-Commerce|SaaS,1000000,operating,ROM,36,Timisoara,Timisoara,2,2008-01-01,2010-01-01,2015-06-16
123Feng.Com,,13000000,operating,CHN,2,Hangzhou,Hangzhou,1,2014-01-01,2015-10-27,2015-10-27
123Greetings,Internet,5400000,operating,,,,,1,1997-05-01,2015-07-23,2015-07-23
1248,Software,378812,operating,GBR,C3,London,Cambridge,1,2013-01-01,2014-03-18,2014-03-18
12Bis,Publishing|Services,130636,operating,FRA,A8,Paris,Paris,1,2008-01-01,2012-03-15,2012-03-15
12cm,Mobile|Service Providers|Software,1809056,operating,KOR,13,Bundangdong,Bundangdong,1,,2014-12-11,2014-12-11
12Return,Consumer Goods|Retail|SaaS|Software,619494,operating,NLD,11,NLD - Other,Gorinchem,1,2010-12-10,2012-06-01,2012-06-01
12Society,E-Commerce,-,acquired,USA,CA,Los Angeles,West Hollywood,1,2012-01-01,2012-04-05,2012-04-05
1366 Technologies,Manufacturing,71450000,operating,USA,MA,Boston,Bedford,9,2007-01-01,2008-03-27,2015-04-09
139shop,E-Commerce,-,operating,CHN,,,,1,,2007-02-01,2007-02-01
13th Lab,Augmented Reality|Computer Vision|Games|iPad|Mobile,700000,acquired,SWE,26,Stockholm,Stockholm,1,2010-01-01,2012-06-15,2012-06-15
140Fire,Advertising|Entertainment|Real Time|Social Media|Sports|Video,500000,operating,USA,CA,Los Angeles,Santa Monica,1,2010-01-01,2010-05-05,2010-05-05
15Fen,,-,operating,CHN,30,Guangzhou,Guangzhou,1,,2013-12-15,2013-12-15
15Five,Software,3400000,operating,USA,CA,SF Bay Area,San Francisco,3,2011-05-01,2012-01-01,2014-10-02
15MinutesNOW,Games,200000,operating,,,,,1,2011-04-19,2011-05-10,2011-05-10
15ShopStop,Fashion,-,operating,USA,CA,Los Angeles,Los Angeles,1,2014-11-17,2014-11-17,2014-11-17
16 Mile Solutions,Software,199957,operating,USA,WA,Seattle,Seattle,1,2006-01-01,2009-06-11,2009-06-11
169 ST.,Entertainment|Games,50000,closed,USA,FL,Orlando,Lake Mary,1,2009-05-15,2009-06-01,2009-06-01
16Lab Inc.,Design|Development Platforms|Wearables,-,operating,JPN,19,JPN - Other,Kamakura,1,2013-04-24,2014-11-26,2014-11-26
16WiFi,Public Transportation,16000000,operating,CHN,22,Beijing,Beijing,1,2011-01-01,2015-06-05,2015-06-05
17 Media,,10000000,operating,,,,,1,2015-07-15,2015-11-05,2015-11-05
17hats,Internet,5250000,operating,USA,CA,Los Angeles,Los Angeles,2,2014-01-01,2015-02-18,2015-10-15
17zuoye,Education|Language Learning,135000000,operating,USA,VA,VA - Other,Shanghai,5,2007-01-01,2011-01-01,2015-02-19
1800Diapers,Baby Accessories|Kids,7000000,operating,,,,,1,,2007-12-04,2007-12-04
180Solutions,Advertising|Advertising Platforms|Promotional,40000000,closed,USA,WA,Seattle,Bellevue,1,,2004-04-05,2004-04-05
1871,Designers|Internet|Non Profit|Startups,2500000,operating,USA,IL,Chicago,Chicago,1,,2014-06-17,2014-06-17
19pay,Finance|FinTech,9478511,operating,CHN,22,Beijing,Beijing,3,2005-01-01,2006-01-01,2013-07-01
1bib,Cars|Curated Web,-,closed,CHN,30,Guangzhou,Guangzhou,1,2006-01-01,2008-02-07,2008-02-07
1C Company,Games|Software|Video Games,200000000,closed,RUS,48,Moscow,Moscow,1,1991-01-01,2011-10-03,2011-10-03
1calendar,Advertising|Education|Internet|Mobile,40000,operating,DNK,17,Copenhagen,Copenhagen,1,2009-01-19,2008-04-04,2008-04-04
1Cast,Content|Lifestyle|News|Video,-,closed,USA,WA,Seattle,Kirkland,1,2006-06-01,2008-08-12,2008-08-12
1CLICK,Chat|Mobile,-,acquired,IND,19,Bangalore,Bangalore,1,2012-11-01,2014-01-26,2014-01-26
1CloudStar,Cloud Computing|Content|Digital Media|Enterprise Software|File Sharing|Search,-,operating,SGP,,Singapore,Singapore,1,2012-01-01,2013-08-01,2013-08-01
1CommMedical,Health Care|Insurance|Medical,2500000,operating,USA,IA,Des Moines,Ankeny,1,2013-01-01,2015-04-27,2015-04-27
1d4 Pty,Geospatial|Maps|Outdoors,40000,operating,NOR,2,,,1,,2012-04-11,2012-04-11
1DayMakeover,Cosmetics|E-Commerce|Fashion|Lifestyle|Personal Health|Shopping,50000,closed,USA,CA,"Orange County, California",Santa Ana,1,2008-06-30,2008-06-30,2008-06-30
Babyscripts,Health and Wellness|Mobile Health,2100000,operating,USA,DC,"Washington, D.C.",Washington,3,2013-03-08,2013-03-11,2015-04-10
1jiajie,E-Commerce,4163132,operating,CHN,22,Beijing,Beijing,2,,2013-09-01,2014-09-16
1Lay,Mobile|Mobile Devices|Mobile Security|Security|Tablets,212000,operating,,,,,2,2013-07-18,2014-05-30,2015-11-02
1Life Healthcare,Health and Wellness|Health Care|Services,30000000,operating,USA,CA,SF Bay Area,San Francisco,1,2002-01-01,2013-03-21,2013-03-21
1Mind,Social Media,500000,operating,USA,NH,"Manchester, New Hampshire",Hampton Falls,1,2011-01-01,2013-08-05,2013-08-05
1mpact Revolution - Powering Helpfreely.org,Non Profit|Online Shopping|Social Fundraising,761234.47320427,operating,ESP,53,Las Palmas De Gran Canaria,Las Palmas De Gran Canaria,4,2013-09-01,2013-09-10,2015-11-01
1mxians,,15000000,operating,CHN,22,Beijing,Beijing,1,2014-01-01,2015-12-02,2015-12-02
1o1Media,Content|Distribution|Film|Marketplaces|Monetization|Photography|Video|Video on Demand,-,operating,,,,,1,2012-01-01,2013-10-01,2013-10-01
1Rebel,Fitness,2572969,operating,GBR,H9,London,London,1,,2014-09-01,2014-09-01
1Ring,Advertising|Contests|Curated Web|Games|Mobile|Music|News|Sales and Marketing|Startups|Television,-,operating,,,,,1,2009-05-01,2011-02-21,2011-02-21
1RP Media,,-,operating,USA,CA,Los Angeles,Los Angeles,1,2011-01-01,2012-06-29,2012-06-29
1SDK,Mobile|Mobile Analytics|Predictive Analytics|SaaS,156000,operating,,,,,2,2013-01-25,2013-08-05,2013-09-02
1spire,Manufacturing,30000,operating,USA,TX,Houston,Houston,1,2011-10-01,2011-12-20,2011-12-20
1st Merchant Funding,Financial Services|FinTech,10000000,operating,USA,FL,Miami,Miami,1,2007-01-01,2014-05-07,2014-05-07
1stdibs,E-Commerce,117000000,operating,USA,NY,New York City,New York,5,2001-01-01,2011-11-03,2015-09-09
1stGig.com,E-Commerce,750000,operating,USA,NY,"Albany, New York",Saratoga Springs,1,2009-08-01,2012-10-01,2012-10-01
1V1 DRAFT GAEMS,,-,operating,USA,NC,Asheville,Asheville,1,2014-09-19,2014-08-28,2014-08-28
1World Online,Analytics|Big Data|Enterprise Software|Market Research|Mobile|Software,4000000,operating,USA,CA,SF Bay Area,San Jose,3,2011-12-01,2013-07-02,2015-08-13
2 Ladoshki,,-,operating,,,,,1,,2013-12-24,2013-12-24
2 Minutes,Games,1660000,operating,FRA,A8,Paris,Paris,1,2000-10-01,2008-06-19,2008-06-19
2NGageU,Consumers|Entertainment|Games|Internet|MMO Games|Mobile|Mobile Social|Social + Mobile + Local|Social Network Media|Women,58000,operating,USA,VT,VT - Other,Williston,1,2011-12-26,2012-04-12,2012-04-12
2 Pro Media Group,Digital Media|Marketing Automation|Media,41250,operating,,,,,1,2011-01-01,2014-01-01,2014-01-01
20/20 Gene Systems Inc.,Biotechnology|Health Diagnostics,4345427,operating,USA,MD,"Washington, D.C.",Rockville,3,2000-05-01,2012-09-25,2015-10-30
20:20 Mobile,Mobile,29750000,operating,IRL,23,IRL - Other,Cree,1,2006-09-01,2008-07-04,2008-07-04
2080 Media,News,51507046,operating,USA,GA,Atlanta,Atlanta,7,2008-01-01,2010-08-05,2015-11-30
20lines,Curated Web|Education|Parenting|Publishing,1236454,operating,ITA,20,Roncade,Roncade,3,2012-01-01,2012-11-15,2014-06-01
20n,Technology,2220000,operating,USA,CA,SF Bay Area,San Francisco,2,,2014-12-01,2015-05-01
20x200,Art|E-Commerce|Social Commerce,2800000,operating,USA,NY,New York City,New York,2,2007-09-01,2009-10-01,2010-08-01
2100b Sausalito LLC.,Advertising|Direct Marketing|Social Media,50000,closed,USA,CA,SF Bay Area,Sausalito,2,2011-06-15,2013-01-01,2013-01-01
21Cake Food Co.,Delivery|Hospitality|Manufacturing,1464128,operating,CHN,22,Beijing,Beijing,1,2004-01-01,2010-01-22,2010-01-22
21 Inc,Big Data|Bitcoin|Hardware + Software|Technology,121050000,operating,USA,CA,SF Bay Area,San Francisco,2,2013-05-01,2013-11-17,2015-03-10
21GRAMS,Software,2580000,operating,SWE,26,Stockholm,Stockholm,1,,2006-04-03,2006-04-03
21st Century Oncology,Health and Wellness,325000000,operating,USA,FL,Fort Myers,Fort Myers,1,,2014-09-26,2014-09-26
22nd Century Group,Biotechnology,15034750,ipo,USA,NY,NY - Other,Clarence,6,1998-01-01,2010-12-28,2014-09-18
22seeds,Android|Apps|Internet|iPhone|Mobile|Sales and Marketing|Software|Web Development|Web Tools,250000,closed,ISR,5,Tel Aviv,Tel Aviv,1,2010-01-01,2013-10-15,2013-10-15
2345.com,Software,1610541,operating,CHN,23,Shanghai,Shanghai,2,2005-09-01,2010-05-01,2010-10-01
2359 Media,Mobile,615000,operating,SGP,,Singapore,Singapore,1,2009-02-01,2011-01-11,2011-01-11
23press,Blogging Platforms|Software,50000,operating,CAN,ON,Toronto,Toronto,1,2011-06-01,2011-08-15,2011-08-15
24/7 Card,Finance,3452941,closed,USA,CA,Los Angeles,Los Angeles,3,,2010-10-25,2011-12-21
[24]7,Customer Service|Predictive Analytics|Services|Software|Technology,-,operating,USA,CA,SF Bay Area,Campbell,1,2000-04-01,2003-07-01,2003-07-01
24 Hour Pro Muscle Gym,Sports,-,operating,USA,FL,Florida's Space Coast,Rockledge,1,2014-07-15,2014-10-23,2014-10-23
24 Media Network,News,1209701,operating,SWE,26,Stockholm,Stockholm,2,,2008-09-01,2009-01-01
24 Quan,Real Estate,-,operating,,,,,2,,2010-05-01,2011-11-01
24x7 Learning,EdTech|Education|Systems,4000000,operating,IND,19,Bangalore,Bangalore,1,2001-01-01,2007-11-06,2007-11-06
247 Techies,Hardware + Software,600000,operating,USA,NY,New York City,New York,1,,2012-11-05,2012-11-05
248 SolidState,Computers|Software|Technology,500000,operating,USA,CA,Los Angeles,Rolling Hills Estates,1,2007-01-01,2009-07-23,2009-07-23
24fab,,-,operating,ESP,29,Madrid,Madrid,2,,2014-09-11,2015-07-20
24Fundraiser.com,Non Profit|Social Fundraising,400000,operating,USA,IL,Chicago,Willowbrook,1,2007-08-01,2014-05-01,2014-05-01
24h00,Advertising|E-Commerce|Marketing Automation,-,closed,FRA,A8,Paris,Paris,1,2006-01-01,2006-08-01,2006-08-01
24i,Internet,2000000,operating,NLD,7,Amsterdam,Amsterdam,1,2009-01-01,2015-04-10,2015-04-10
24M Technologies,Clean Technology,16000000,operating,USA,MD,Salisbury,Cambridge,1,2010-01-01,2010-08-16,2010-08-16
24me,Artificial Intelligence|Big Data|Marketplaces|Productivity,-,operating,,,,,1,2013-01-01,2014-05-02,2014-05-02
24med Sp,,-,closed,,,,,1,,2008-01-01,2008-01-01
24tidy,Services,1856561,operating,CHN,,,,2,,2013-12-27,2014-07-14
250ok,Software,300000,operating,USA,IN,Indianapolis,Indianapolis,2,2012-01-01,2012-09-01,2014-03-01
25eight,DIY|Electronics|Software,25000,closed,USA,CA,SF Bay Area,San Francisco,1,,2010-01-26,2010-01-26
27 Perry,E-Commerce|Finance|Marketplaces,118000,closed,USA,CO,Denver,Boulder,1,2012-07-25,2012-05-17,2012-05-17
280 North,Presentations|Software,250000,acquired,USA,CA,SF Bay Area,San Francisco,2,,2008-01-01,2008-03-01
28msec,Cloud Computing|Databases|Software|Web Development,5844811,operating,USA,CA,SF Bay Area,Palo Alto,1,2008-01-01,2013-10-28,2013-10-28
29West,,-,acquired,,,,,1,,2007-03-15,2007-03-15
2AdPro Media Solutions,Ad Targeting|Advertising|Advertising Platforms|Design|Digital Media|Marketing Automation|Mobile Advertising|SaaS|Web Design,-,operating,USA,CA,Los Angeles,Woodland Hills,1,2006-09-01,2008-03-31,2008-03-31
2B Angels,,-,operating,ISR,5,Tel Aviv,Tel Aviv,1,2009-01-01,2013-11-01,2013-11-01
2C2P,E-Commerce|Mobile Commerce|Payments|Software,10000000,operating,SGP,,,,3,2003-01-01,2011-01-01,2015-04-27
2can,Credit Cards|Mobile,8300000,operating,RUS,48,Moscow,Moscow,3,2012-04-12,2012-09-01,2015-11-18
2Catalyze,Software,6785876,operating,CAN,ON,Toronto,Toronto,1,2008-01-01,2010-08-25,2010-08-25
2Checkout,E-Commerce,72000000,operating,USA,OH,"Columbus, Ohio",Columbus,2,1999-01-01,2014-07-16,2015-09-15
2CODE Online,Internet|Software|Web Development,-,operating,,,,,1,2008-10-01,2008-01-01,2008-01-01
2CRisk,Software,383000,operating,AUS,4,Brisbane,Brisbane,2,2010-07-01,2010-04-01,2012-10-10
2d2c,Hardware + Software,2941000,operating,USA,IL,Chicago,Lincolnshire,3,,2009-04-07,2011-01-18
2degreesmobile,Mobile,165000000,operating,NZL,E7,Auckland,Auckland,1,2009-01-01,2013-06-18,2013-06-18
2DHeat,Clean Technology,474116.56105524,operating,GBR,P2,Warrington,Warrington,4,,2014-10-24,2014-10-24
2Duche,E-Commerce,-,operating,CHN,23,Shanghai,Shanghai,2,,2006-06-01,2010-08-01
2GO Mobile Solutions,Software,275000,operating,USA,TX,Dallas,Plano,1,2008-01-01,2010-04-09,2010-04-09
2heuresavant,Discounts|Entertainment|Internet|Ticketing,33457,operating,FRA,A8,Paris,Paris,1,2010-01-01,2010-07-01,2010-07-01
2houses,Curated Web,966728,operating,BEL,1,Brussels,Bel,2,2011-05-01,2011-08-08,2012-11-09
2lemetry,Internet of Things|M2M|Software,4000000,acquired,USA,CO,Denver,Denver,1,2011-09-01,2015-01-09,2015-01-09
2mee,Content|Software|Sports,100000,closed,,,,,1,,2015-04-16,2015-04-16
2Morrow Inc,Application Platforms|Health and Wellness|Mobile|Mobile Health|Software,300000,operating,USA,WA,Seattle,Kirkland,2,2012-01-01,2014-05-15,2015-03-16
2nd Chance Solutions,Health and Wellness,-,operating,USA,IL,Chicago,Lockport,1,2015-01-31,2015-01-11,2015-01-11
2nd Screen Games,,-,closed,USA,CA,SF Bay Area,San Francisco,1,,2012-12-01,2012-12-01
"2nd Story Software, Inc.",Software,85000000,acquired,USA,IA,Cedar Rapids,Cedar Rapids,1,1998-02-15,2005-03-30,2005-03-30
2nd Watch,Cloud Infrastructure|Corporate IT|Enterprise Software,37644420,operating,USA,WA,Seattle,Seattle,4,2010-01-01,2011-12-06,2014-10-14
2NDNATURE,Landscaping|Natural Resources,20000,operating,USA,CA,SF Bay Area,Santa Cruz,1,2004-01-01,2013-03-31,2013-03-31
2Nite2Nite.net,Advertising|Media,6000,operating,USA,CA,Sacramento,Elk Grove,1,2013-09-13,2014-09-13,2014-09-13
2pm Technologies,SaaS|Technology|Telecommunications,3167062,closed,IRL,10,IRL - Other,Ballinasloe,1,1999-11-23,2002-11-01,2002-11-01
2RedBeans,Curated Web|Online Dating|Social Network Media,2300000,operating,USA,CA,SF Bay Area,Dublin,1,2010-08-01,2014-10-15,2014-10-15
2sms,Messaging,939000,operating,USA,IL,Chicago,Schaumburg,1,,2007-11-01,2007-11-01
2theloo,Hospitality,-,operating,,,,,1,2011-02-17,2013-07-10,2013-07-10
2threads,Art|Beauty|Fashion|Lifestyle|Music|Social Media|Social Network Media,300000,operating,AUS,2,Sydney,Sydney,2,2004-05-01,2007-08-01,2008-06-01
2U Inc.,EdTech|Education|Software,95875000,ipo,USA,MD,MD - Other,Hyattsville,6,2008-01-01,2009-03-25,2013-10-21
2Vancouver,E-Commerce|Navigation|Tourism,80000,operating,CAN,BC,Vancouver,Vancouver,1,2012-01-25,2011-06-01,2011-06-01
2Web Technologies,Software,-,acquired,,,,,1,,2001-12-01,2001-12-01
2Win-Solutions,Collaboration|Networking|Project Management|SaaS|Software|Task Management,-,closed,ISR,2,Tel Aviv,Ra'anana,1,,2008-01-01,2008-01-01
2Wire,Curated Web,162000000,acquired,USA,CA,SF Bay Area,San Jose,5,,1999-11-01,2003-05-12
3 day Blinds,Interior Design|Retail|Services,-,acquired,USA,CA,Anaheim,Irvine,1,1984-01-01,1998-03-13,1998-03-13
3 Four 5 Group,Energy|Energy Efficiency|Solar,-,operating,USA,NV,Las Vegas,Las Vegas,1,2012-12-04,2013-10-21,2013-10-21
3 Kinds of Ice,,-,closed,GBR,H9,London,London,1,2015-01-10,2015-01-10,2015-01-10
3 Minute,Internet,-,operating,JPN,40,Tokyo,Tokyo,1,,2015-02-12,2015-02-12
3-V Biosciences,Biotechnology,128477567,operating,USA,CA,SF Bay Area,Menlo Park,7,2007-03-01,2007-05-22,2015-03-17
30 Second Showcase,Apps|Creative|Design|Finance|Mobile|Photography|Software,25000,operating,USA,NJ,Newark,Clifton,1,2013-04-01,2013-05-20,2013-05-20
303 Luxury Car Service,Transportation,-,operating,USA,CO,Denver,Denver,1,2013-09-16,2013-10-25,2013-10-25
30SecondsToFly - Claire,,-,closed,,,,,1,2015-04-15,2015-09-30,2015-09-30
312 Capital,Finance|FinTech,500000,operating,USA,IL,Chicago,Chicago,1,2013-01-23,2014-09-16,2014-09-16
31Dover,E-Commerce|Wine And Spirits,2274716,operating,GBR,H9,London,London,1,2012-07-01,2014-03-01,2014-03-01
"321Lend, Inc.",FinTech|Peer-to-Peer|Personal Finance|Venture Capital,-,operating,USA,CA,SF Bay Area,San Francisco,1,2014-03-01,2015-02-16,2015-02-16
3225 films,Entertainment|News|Photography|Video,-,operating,USA,PA,Philadelphia,Philadelphia,1,2010-09-01,2010-08-13,2010-08-13
33Across,Advertising|Advertising Platforms|Content Discovery|Internet|Social Media|Social Media Platforms|Social Network Media,25654560,operating,USA,NY,New York City,New York,5,2007-09-01,2009-02-06,2012-07-19
33Coupons,Internet,20000,operating,IND,36,Kanpur,Kanpur,1,2015-05-01,2015-07-06,2015-07-06
360Cities,Curated Web|Maps|Photography|Virtual Worlds,-,operating,CZE,52,Prague,Prague,1,2007-01-01,2007-12-01,2007-12-01
360Commerce,Information Technology|Retail|Software,15000000,acquired,USA,TX,Austin,Austin,2,,2001-01-01,2003-10-29
"360fly, Inc.",Consumer Electronics|Software,17800000,operating,USA,PA,Pittsburgh,Pittsburgh,1,1998-01-01,2014-08-11,2014-08-11
360Guanxi,Biotechnology|Life Sciences|Media|News|Pharmaceuticals,5000000,operating,CHN,23,Shanghai,Shanghai,1,2000-01-01,2009-06-01,2009-06-01
360imaging,Biotechnology|Dental,1000000,operating,USA,GA,Atlanta,Atlanta,2,2005-01-01,2011-11-01,2013-01-01
360incentives.com,Software,7650000,operating,CAN,ON,Toronto,Whitby,1,2008-01-01,2013-01-15,2013-01-15
360Learning,Communities|Corporate Training|Education,1543920,operating,FRA,A8,Paris,Paris,1,2010-01-01,2013-09-30,2013-09-30
360Quan,Internet|Social Media|Social Network Media,23000000,operating,,,,,3,2006-03-28,2006-02-08,2008-07-01
360SHOP,Enterprise Software,1623640,operating,CHN,,,,1,,2013-03-01,2013-03-01
365 Data Centers,Data Centers|Information Technology|Internet|Services,16000000,operating,USA,CA,SF Bay Area,Emeryville,1,2012-01-01,2014-09-10,2014-09-10
365 docobites,Entertainment,-,operating,AUS,2,Sydney,Sydney,1,2013-01-01,2014-03-31,2014-03-31
365 Good Teacher,Finance,-,operating,,,,,1,,2014-04-01,2014-04-01
365 Retail Markets,Point of Sale|SaaS|Software,-,operating,USA,MI,Detroit,Troy,3,2009-08-01,2013-04-01,2015-05-29
365looks,Artificial Intelligence|Fashion|Technology,609229,operating,ESP,,,,4,2011-12-12,2011-12-01,2012-09-01
365Scores,Android|Apps|iPhone|Mobile|Sports,6700000,operating,GBR,H9,London,London,2,2008-01-01,2013-01-28,2014-09-29
365webcall,Enterprises|Enterprise Software,-,operating,CHN,2,Hangzhou,Hangzhou,1,,2004-03-01,2004-03-01
36Kr,Blogging Platforms|Internet|Public Relations|Social Media|Startups,1573976,operating,CHN,22,Beijing,Beijing,3,1999-01-01,2011-04-01,2015-10-15
37coins,Bitcoin,525000,operating,USA,CA,SF Bay Area,Sunnyvale,2,2014-01-01,2014-03-15,2014-06-01
37mhealth,Mobile,1629549,operating,CHN,,,,1,2013-01-01,2014-03-01,2014-03-01
38 Zeros,Software,800000,operating,USA,OR,"Portland, Oregon",Portland,1,,2015-03-11,2015-03-11
382 Communications,Mobile,1600000,operating,USA,MA,Boston,Quincy,1,2010-01-01,2012-01-13,2012-01-13
39 Health,Health and Wellness,3750000,operating,CHN,30,Guangzhou,Guangzhou,2,,2006-03-01,2007-03-01
3BaysOver,Networking|Online Travel|Travel,1719583,operating,CHE,7,Geneva,Geneva,2,2011-08-01,2011-08-01,2014-07-10
3Cinteractive,Business Services|Marketing Automation|Mobile,6000000,operating,USA,FL,Palm Beaches,Boca Raton,1,2005-01-01,2011-03-01,2011-03-01
3C Plus,Cloud Computing|Communications Hardware|Contact Centers|Customer Service|Internet|Software|VoIP|Web Development,75000,operating,BRA,18,Curitiba,Curitiba,1,2013-01-10,2013-01-10,2013-01-10
3CI,Biotechnology,133620,operating,ITA,6,Bolzano,Bolzano,1,2008-01-01,2011-01-01,2011-01-01
3ClickEMR Corporation,Consumer Electronics|Electronic Health Records|Health Care|iPad|Software,500000,closed,USA,MA,Boston,West Roxbury,2,2010-06-23,2010-06-23,2011-06-01
XDN/3Crowd Technologies,Enterprise Software,7289000,acquired,USA,CA,SF Bay Area,San Mateo,3,2010-01-01,2009-12-22,2012-07-01
3D-4U,3D|3D Technology|Events,750000,operating,USA,WA,WA - Other,Pullman,1,2012-01-01,2014-10-14,2014-10-14
3D By Flow,Services,16674,operating,NLD,5,NLD - Other,Maastricht,1,,2015-06-30,2015-06-30
